degree,noise_level,method,imse_mean,imse_sem,imae_mean,imae_sem,maxerr_mean,maxerr_sem,n_used,n_total,n_removed
1,high,entropy,0.065122810144538,0.003954393617244425,0.18977129247089253,0.006815817909259858,0.3676709281758976,0.013497537904866588,274,300,26
1,low,entropy,0.07240596032698948,0.003945141365933647,0.20427879690887504,0.006776528829225955,0.39159778681886837,0.013302010970281011,282,300,18
1,moderate,entropy,0.0578418313057735,0.0034638774726265965,0.1808977066016497,0.006631429725267439,0.35017100992905087,0.012465122489634764,273,300,27
2,high,entropy,0.11912023535053769,0.005831698694650448,0.2599713816483467,0.0068358095675149135,0.43505885166790953,0.015063671350347503,271,300,29
2,low,entropy,0.11163903593038982,0.005240472108948738,0.2543194268145703,0.006800675036249104,0.44195650378106593,0.01492399247535162,280,300,20
2,moderate,entropy,0.13113944627795956,0.005885500401472413,0.278176824891244,0.0070931139721537055,0.4282681395919205,0.013871090048856333,286,300,14
3,high,entropy,0.11603801879859624,0.004856615760611029,0.25606395842308755,0.006083386248743049,0.41213771862338977,0.013515653105197235,269,300,31
3,low,entropy,0.1532348045371623,0.006083197119024954,0.2983968296486044,0.006408813090079329,0.46300297356414827,0.01399227722360624,271,300,29
3,moderate,entropy,0.15299776871999723,0.00674567599000455,0.29486369207423746,0.006933477084202162,0.4530254698891173,0.015106606005612058,268,300,32
4,high,entropy,0.14793962625861118,0.006417861229511659,0.2877955100104463,0.006750704087388873,0.44958116861189346,0.014505620890109535,269,300,31
4,low,entropy,0.1850055663578761,0.00759625296916863,0.3278220284006108,0.007374053328572606,0.5237745659169287,0.01543691105122465,272,300,28
4,moderate,entropy,0.15849194601478891,0.00689511131691781,0.2978751984073018,0.006989305454644057,0.4791357487251897,0.014852462915744599,268,300,32
5,high,entropy,0.1672717175759368,0.007216249019201376,0.3044974294878326,0.006826329258721893,0.4565953514839376,0.013821360719965575,268,300,32
5,low,entropy,0.19559411960533468,0.008504866229452797,0.32559488359187266,0.007582758496490849,0.505939016190679,0.015940046620992066,271,300,29
5,moderate,entropy,0.1628449243308765,0.006629417803176199,0.3026070821633548,0.006420401056509172,0.4642247981786481,0.013928852046124261,263,300,37
6,high,entropy,0.17430731792774487,0.007287252409621415,0.31477469608070324,0.007282378088198509,0.49144493698727026,0.014781007032101395,272,300,28
6,low,entropy,0.23060696678992398,0.010588318949611942,0.35067845897411143,0.00795541825227071,0.5335644142879471,0.015073892475903954,264,300,36
6,moderate,entropy,0.193800175573115,0.007896314868069744,0.3241852481155789,0.007199924293145386,0.5087933553429117,0.015874154912730427,268,300,32
