degree,noise_level,method,imse_mean,imse_std,imae_mean,imae_std,maxerr_mean,maxerr_std
1,low,silverman,0.1620363040888143,0.12769193100615864,0.3032203881974736,0.12600239241109912,0.6220268663112821,0.3105754521027353
1,low,cv,1.4353338263222395,7.048367720691881,0.3421591261881216,0.3856127087151691,1.9760114028819047,7.931115494045812
1,moderate,silverman,0.15569663477567752,0.16137360258917524,0.2916098192274239,0.13879661525564244,0.5047073202228659,0.4406275607926385
1,moderate,cv,0.13321282519515434,0.15226528950221663,0.2618260697370514,0.1363342989009852,0.4470127824503105,0.4197718050734779
1,high,silverman,0.12929072221613352,0.10053389910171494,0.263552359346084,0.10158730112784475,0.43424978404156245,0.23861021214250788
1,high,cv,0.17992970658919202,0.4084809891057718,0.26296447236847365,0.1544119439639862,0.42280405352917305,0.22898117490623543
2,low,silverman,0.39199082190978124,0.3889190836046968,0.4835694940805503,0.25843707219265033,0.8229383363608963,0.4665232218830048
2,low,cv,0.2354230331102111,0.15841211967478142,0.3722752295655019,0.12458060191849579,0.6391677336249021,0.2664303649237355
2,moderate,silverman,0.2852581702612344,0.3852748206264346,0.3594158765093816,0.24244284183418666,0.557337554827678,0.42603634090158055
2,moderate,cv,0.34251983633943134,0.8753053537512057,0.34162585722298694,0.2863583479095101,0.5751652425486647,0.41522044978450207
2,high,silverman,0.22888016599620004,0.19610549263661417,0.3657226546049786,0.17167590427824286,0.6732525795595976,0.4445807070735093
2,high,cv,0.2835119615062603,0.3895211496239359,0.3751646436614546,0.1578664620932689,0.6731545981317315,0.5170215185019672
3,low,silverman,0.3535720165284025,0.4549191983013923,0.444498444148212,0.25563106140462577,0.7481558038425552,0.4094646947954405
3,low,cv,0.32576460391278184,0.41053952549099065,0.41088121240339465,0.19516280865101987,0.6375004210089169,0.2884035014575991
3,moderate,silverman,0.2998849650379476,0.31215099847898764,0.41700630112457215,0.2094989639412538,0.69407709867714,0.4305339628254798
3,moderate,cv,0.278348604811595,0.24421441938396754,0.4009691285840367,0.1788003517380563,0.6533551610862837,0.3067979014514422
3,high,silverman,0.23145819337996762,0.32282094282093404,0.35032070258012044,0.17877522642452684,0.6281186817381553,0.377842968867825
3,high,cv,0.18093084168431112,0.09242206781172142,0.3297526580122762,0.11004449277133756,0.6268790086413917,0.3316555694594748
4,low,silverman,0.7021412802130809,1.0673660864730081,0.5340055693200557,0.39675002724507363,0.9620771460931048,0.9093453481658222
4,low,cv,0.6322107328639813,1.4583514852321309,0.43920128980075906,0.27527473216094256,0.7470077342399165,0.607028574543256
4,moderate,silverman,0.6639066558931621,0.9956934091722496,0.5027615849661469,0.32754469231835553,0.8357712123735401,0.603951599308992
4,moderate,cv,1.0220452055015739,3.7640685721070413,0.4299928543251485,0.25619369760271365,0.7650113401022491,0.40854403260211336
4,high,silverman,0.2245431719035105,0.2031927396435465,0.3762793360784424,0.15559911737566137,0.6304424053655623,0.3619210199305544
4,high,cv,0.23114963273974498,0.20995351793006523,0.3636282891517802,0.1585532209130601,0.6829972330799498,0.42583065517229807
5,low,silverman,0.8887794090585929,1.4655979407693798,0.6614261873997905,0.3962169436129123,1.2775170523994277,0.8800157474759155
5,low,cv,0.3468097222303636,0.21828903156990104,0.44478686689491315,0.1404263082698529,0.9270130046926568,0.4791378972714772
5,moderate,silverman,0.37208754852994486,0.4139263522909388,0.41025458603582793,0.21943984435484862,0.5789037263033996,0.3343262729157678
5,moderate,cv,0.3110902136023135,0.2883487846631881,0.36771599177546194,0.16912105613021639,0.6384863924234723,0.3237816566109787
5,high,silverman,0.3282189365153079,0.887373407537887,0.3405398947005463,0.18051823174686782,0.5712751239321396,0.2765153337644073
5,high,cv,0.310518660582875,0.7942122106097547,0.3326177893811648,0.15836349829870303,0.6018861224391292,0.327525766814768
6,low,silverman,0.7986615622991835,1.5116955089671138,0.570513995164292,0.2996680341315371,0.9319982085445925,0.5492904676518254
6,low,cv,0.6817416235686917,1.4119231280632767,0.4885707167443512,0.22047565451182813,0.8369520238383444,0.48251349389790515
6,moderate,silverman,0.4999075118946967,0.5933199067944568,0.48623273059881755,0.26293111644396233,0.8620147063225173,0.519602559822161
6,moderate,cv,0.3290839926399353,0.3704482016862644,0.4003699298511592,0.1902860636027628,0.7165151424871818,0.4024758130761147
6,high,silverman,0.28269429677805546,0.3141330064214439,0.3670929885029423,0.18605732008559198,0.7740545391866033,0.9424464833560013
6,high,cv,0.2833953700212988,0.24321590909527824,0.3642369006322219,0.1349228149184109,0.641374424691118,0.4473546292576626
